"Model","Year","ssp126","ssp245","ssp585"
"EC-Earth3",2051,687.4087,135.8244,943.6359
"EC-Earth3",2052,206.4826,324.7998,709.803
"EC-Earth3",2053,589.5151,262.7418,708.8457
"EC-Earth3",2054,538.0363,366.8301,670.9558
"EC-Earth3",2055,367.8612,575.0575,960.6561
"EC-Earth3",2056,263.1408,689.1702,859.4068
"EC-Earth3",2057,251.5887,552.7096,562.0726
"EC-Earth3",2058,644.9809,493.9749,589.3308
"EC-Earth3",2059,684.4769,802.5561,991.7302
"EC-Earth3",2060,373.7415,692.5038,945.2702
"EC-Earth3",2061,79.7042,528.6839,827.3636
"EC-Earth3",2062,177.6389,492.8763,939.2494
"EC-Earth3",2063,131.0226,647.5644,1128.6895
"EC-Earth3",2064,384.8633,302.9626,996.3687
"EC-Earth3",2065,289.9537,434.7532,877.321
"EC-Earth3",2066,447.3519,423.5054,1161.3006
"EC-Earth3",2067,583.4381,482.6892,1337.214
"EC-Earth3",2068,363.7209,544.857,1097.9494
"EC-Earth3",2069,590.4858,822.4737,866.9787
"EC-Earth3",2070,403.5145,861.5576,1005.1442
"EC-Earth3",2071,304.0562,491.028,1109.6365
"EC-Earth3",2072,356.126,432.1581,1112.6766
"EC-Earth3",2073,625.3805,787.5543,1142.8485
"EC-Earth3",2074,672.5906,332.2133,1220.487
"EC-Earth3",2075,524.7017,261.8312,1220.487
"EC-Earth3",2076,436.4917,510.2182,1223.8308
"EC-Earth3",2077,171.9485,547.5557,1220.487
"EC-Earth3",2078,217.0646,531.2419,1220.487
"EC-Earth3",2079,145.2032,793.4501,1220.487
"EC-Earth3",2080,268.2601,814.0312,1223.8308
"EC-Earth3",2081,474.8542,864.9834,1220.487
"EC-Earth3",2082,628.8375,901.0755,1220.487
"EC-Earth3",2083,638.997,673.6482,1220.487
"EC-Earth3",2084,479.6737,1048.2606,1249.6635
"EC-Earth3",2085,320.8024,897.67,1359.6235
"EC-Earth3",2086,339.8942,721.6462,1509.0925
"EC-Earth3",2087,393.5191,587.65,1509.0925
"EC-Earth3",2088,405.3207,621.6418,1513.227
"EC-Earth3",2089,380.4281,819.9913,1509.0925
"EC-Earth3",2090,552.1807,732.1734,1509.0925
"EC-Earth3",2091,477.7822,698.9524,1509.0925
"EC-Earth3",2092,573.238,883.7238,1513.227
"EC-Earth3",2093,258.4257,942.5482,1509.0925
"EC-Earth3",2094,297.9847,815.3138,1509.0925
"EC-Earth3",2095,551.814,979.0746,1509.0925
"EC-Earth3",2096,391.4975,1050.2293,1311.5786
"EC-Earth3",2097,257.0338,800.8658,1583.5525
"EC-Earth3",2098,217.7015,557.5404,1583.5525
"EC-Earth3",2099,715.5478,903.0632,1583.5525
"EC-Earth3",2100,291.4352,991.2396,1583.5525
"MIROC6",2020,112.8443,0,21.7032
"MIROC6",2021,170.8332,84.6313,7.3212
"MIROC6",2022,98.0616,258.025,0
"MIROC6",2023,233.9293,54.8822,196.1154
"MIROC6",2024,54.1509,0,370.0238
"MIROC6",2025,4.5615,24.3635,440.8208
"MIROC6",2026,8.2446,134.475,248.815
"MIROC6",2028,119.3874,411.4429,75.3514
"MIROC6",2029,430.615,439.1124,485.8556
"MIROC6",2030,379.7813,250.1395,57.4871
"MIROC6",2031,225.7281,336.0328,21.1876
"MIROC6",2032,122.5206,444.9066,0
